Date,Close,High,Low,Open,Volume,Trend,Seasonal,Residual,Volatility,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Log_Return,CPI,Inflation_Rate,Interest_Rate,Volume_outlier,Volume_corrected,Short_MA,Long_MA,Short_Volatility,Long_Volatility,SMA_20,EMA_20,Lag_1,Lag_5,Lag_10,Volatility_Volume_Product,Interest_Rate_Change,Interest_Rate_to_Return
1/3/2000,1455.219971,1478,1438.359985,1469.25,931800000,0,1.009606499,0,0,0,-1.634970523,0,0,169.3451613,0,5.43,FALSE,931800000,1455.219971,1455.219971,0,0,0,1455.219971,0,0,0,0,0,0
1/4/2000,1399.420044,1455.219971,1397.430054,1455.219971,1009000000,0,1.011309513,0,0,0.082850397,-1.583678321,0,-0.039099176,169.3677419,0,5.38,FALSE,1009000000,1427.320008,1427.320008,39.45650677,39.45650677,0,1449.905692,1455.219971,0,0,0,0,0
1/5/2000,1402.109985,1413.27002,1377.680054,1399.420044,1085500000,0,1.011641592,0,0,0.075817641,-1.532851203,0,0.001920338,169.3903226,0,5.41,FALSE,1085500000,1418.916667,1418.916667,31.46833924,31.46833924,0,1445.35372,1399.420044,0,0,0,0,0
1/6/2000,1403.449951,1411.900024,1392.099976,1402.109985,1092300000,0,1.008976184,0,0,0.006264394,-1.528333237,0,0.000955222,169.4129032,0,5.54,FALSE,1092300000,1415.049988,1415.049988,26.83236367,26.83236367,0,1441.362885,1402.109985,0,0,0,0,0
1/7/2000,1441.469971,1441.469971,1400.72998,1403.449951,1225200000,0,1.00711001,0,0,0.121669871,-1.440033579,0,0.02672995,169.4354839,0,5.61,FALSE,1225200000,1420.333984,1420.333984,26.06884938,26.06884938,0,1441.373084,1403.449951,0,0,0,0,0
1/10/2000,1457.599976,1464.359985,1441.469971,1441.469971,1064800000,0,1.00778841,0,0,-0.130917401,-1.546604423,0,0.011127825,169.5032258,0,5.74,FALSE,1064800000,1426.544983,1426.544983,27.84110177,27.84110177,0,1442.918502,1441.469971,1455.219971,0,0,0,0
1/11/2000,1438.560059,1458.660034,1434.420044,1457.599976,1014000000,0,1.006158731,0,0,-0.04770849,-1.580356287,0,-0.013148577,169.5258065,0,5.63,FALSE,1014000000,1428.261422,1428.261422,25.81786733,25.81786733,0,1442.503412,1457.599976,1399.420044,0,0,0,0
1/12/2000,1432.25,1442.599976,1427.079956,1438.560059,974600000,0,1.005157517,0,0,-0.038856016,-1.606533913,0,-0.00439602,169.5483871,0,5.59,FALSE,974600000,1428.759995,1428.759995,23.94426206,23.94426206,0,1441.526897,1438.560059,1402.109985,0,0,0,0
1/13/2000,1449.680054,1454.199951,1432.25,1432.25,1030400000,0,1.001538069,0,0,0.057254258,-1.569460016,0,0.012096245,169.5709677,0,5.58,FALSE,1030400000,1431.084446,1431.084446,23.45824756,23.45824756,0,1442.303388,1432.25,1403.449951,0,0,0,0
1/14/2000,1465.150024,1473,1449.680054,1449.680054,1085900000,0,0.999954364,0,0,0.053862578,-1.532585441,0,0.010614763,169.5935484,0,5.56,FALSE,1085900000,1434.491004,1434.491004,24.60066009,24.60066009,0,1444.479258,1449.680054,1441.469971,0,0,0,0
1/18/2000,1455.140015,1465.150024,1451.300049,1465.150024,1056700000,0,1.001523503,0,0,-0.026890137,-1.551986118,0,-0.006855516,169.683871,0,5.83,FALSE,1056700000,1436.368186,1436.368186,24.15440332,24.15440332,0,1445.494568,1465.150024,1457.599976,1455.219971,0,0,0
1/19/2000,1455.900024,1461.390015,1448.680054,1455.140015,1087800000,0,1.004927135,0,0,0.029431248,-1.531323068,0,0.000522156,169.7064516,0,5.47,FALSE,1087800000,1437.99584,1437.99584,23.71047644,23.71047644,0,1446.485564,1455.140015,1438.560059,1399.420044,0,0,0
1/20/2000,1445.569946,1465.709961,1438.540039,1455.900024,1100700000,0,1.006508111,0,0,0.011858798,-1.522752221,0,-0.007120612,169.7290323,0,5.44,FALSE,1100700000,1438.578463,1438.578463,22.79804059,22.79804059,0,1446.398362,1455.900024,1432.25,1402.109985,0,0,0
